time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-20 00:00:00+00:00,7,3,76,30
2026-03-21 00:00:00+00:00,6,2,24,10
2026-03-22 00:00:00+00:00,17,5,52,19
2026-03-23 00:00:00+00:00,18,10,40,26
2026-03-24 00:00:00+00:00,9,5,42,24
2026-03-25 00:00:00+00:00,16,7,84,28
2026-03-26 00:00:00+00:00,35,17,45,24
2026-03-27 00:00:00+00:00,12,8,30,20
2026-03-28 00:00:00+00:00,17,9,18,11
2026-03-29 00:00:00+00:00,12,8,16,14
2026-03-30 00:00:00+00:00,4,4,57,32
2026-03-31 00:00:00+00:00,17,8,58,24
2026-04-01 00:00:00+00:00,9,5,36,25
2026-04-02 00:00:00+00:00,17,8,38,25
