time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,2,2,70,29
2026-02-11 00:00:00+00:00,0,0,100,29
2026-02-12 00:00:00+00:00,0,0,79,25
2026-02-13 00:00:00+00:00,2,2,28,17
2026-02-14 00:00:00+00:00,4,3,81,9
2026-02-15 00:00:00+00:00,1,1,53,15
2026-02-16 00:00:00+00:00,3,3,35,20
2026-02-17 00:00:00+00:00,3,3,66,30
2026-02-18 00:00:00+00:00,175,67,287,40
2026-02-19 00:00:00+00:00,130,41,149,27
2026-02-20 00:00:00+00:00,57,25,97,18
2026-02-21 00:00:00+00:00,23,11,22,8
2026-02-22 00:00:00+00:00,22,10,24,12
2026-02-23 00:00:00+00:00,50,18,75,22
